ID,Prob1
155, 0.29
156, 0.46
157, 0.35
158, 0.57
159, 0.31
160, 0.59
161, 0.36
162, 0.23
163, 0.52
164, 0.38
165, 0.34
166, 0.28
167, 0.28
168, 0.27
169, 0.35
170, 0.20
171, 0.27
172, 0.37
173, 0.59
174, 0.28
175, 0.32
176, 0.43
177, 0.32
178, 0.44
179, 0.25
180, 0.27
181, 0.59
182, 0.27
183, 0.59
184, 0.40
185, 0.34
186, 0.26
187, 0.36
188, 0.36
189, 0.45
190, 0.30
191, 0.30
192, 0.42
193, 0.27
194, 0.21
195, 0.35
196, 0.38
197, 0.28
198, 0.42
199, 0.24
200, 0.33
201, 0.22
202, 0.23
203, 0.51
204, 0.29
205, 0.57
206, 0.37
207, 0.46
208, 0.30
209, 0.32
210, 0.34
211, 0.27
212, 0.34
213, 0.40
214, 0.28
215, 0.43
216, 0.59
217, 0.32
218, 0.41
219, 0.57
220, 0.30
221, 0.59
222, 0.21
223, 0.33
224, 0.32
225, 0.29
226, 0.40
227, 0.27
228, 0.52
229, 0.29
230, 0.32
231, 0.30
232, 0.59
233, 0.59
234, 0.28
235, 0.29
236, 0.49
237, 0.23
238, 0.52
239, 0.29
240, 0.27
241, 0.35
242, 0.51
243, 0.30
244, 0.33
245, 0.34
246, 0.33
247, 0.25
248, 0.31
249, 0.26
250, 0.32
251, 0.26
252, 0.27
253, 0.27
254, 0.35
255, 0.32
256, 0.27
257, 0.33
258, 0.26
259, 0.59
260, 0.29
261, 0.54
262, 0.31
263, 0.27
264, 0.51
265, 0.29
266, 0.33
267, 0.28
268, 0.21
269, 0.30
270, 0.50
271, 0.28
272, 0.28
273, 0.28
274, 0.27
275, 0.36
276, 0.27
277, 0.52
278, 0.27
279, 0.33
280, 0.59
281, 0.52
282, 0.28
283, 0.45
284, 0.47
285, 0.30
286, 0.28
287, 0.31
288, 0.59
289, 0.29
290, 0.26
291, 0.28
292, 0.59
293, 0.29
294, 0.27
295, 0.59
296, 0.32
297, 0.39
298, 0.59
299, 0.28
300, 0.59
301, 0.27
302, 0.59
303, 0.28
304, 0.42
305, 0.28
306, 0.39
307, 0.59
308, 0.28
309, 0.24
310, 0.59
311, 0.29
312, 0.35
313, 0.27
314, 0.59
315, 0.50
316, 0.30
317, 0.28
318, 0.27
319, 0.59
320, 0.47
321, 0.54
322, 0.22
323, 0.37
324, 0.20
325, 0.32
326, 0.28
327, 0.32
328, 0.29
329, 0.32
330, 0.24
331, 0.32
332, 0.31
333, 0.32
334, 0.58
335, 0.59
336, 0.35
337, 0.59
338, 0.30
339, 0.59
340, 0.59
341, 0.01
342, 0.32
343, 0.42
344, 0.59
345, 0.29
346, 0.31
347, 0.41
348, 0.59
349, 0.27
350, 0.30
351, 0.39
352, 0.38
353, 0.28
354, 0.36
355, 0.30
356, 0.47
357, 0.42
358, 0.28
359, 0.28
360, 0.32
361, 0.52
362, 0.35
363, 0.45
364, 0.28
365, 0.32
366, 0.59
367, 0.34
368, 0.36
369, 0.37
370, 0.22
371, 0.49
372, 0.52
373, 0.59
374, 0.27
375, 0.31
376, 0.59
377, 0.34
378, 0.34
379, 0.30
380, 0.40
381, 0.37
382, 0.39
383, 0.29
384, 0.51
385, 0.32
386, 0.28
387, 0.31
388, 0.43
389, 0.36
390, 0.25
391, 0.59
392, 0.50
393, 0.37
394, 0.27
395, 0.39
396, 0.38
397, 0.37
398, 0.27
399, 0.28
400, 0.36
401, 0.44
402, 0.20
403, 0.34
404, 0.23
405, 0.34
406, 0.40
407, 0.29
408, 0.33
409, 0.39
410, 0.56
411, 0.31
412, 0.32
413, 0.59
414, 0.40
415, 0.59
416, 0.41
417, 0.59
418, 0.32
419, 0.44
420, 0.37
421, 0.28
422, 0.27
423, 0.29
424, 0.27
425, 0.24
426, 0.49
427, 0.24
428, 0.30
429, 0.21
430, 0.27
431, 0.59
432, 0.51
433, 0.27
434, 0.32
435, 0.42
436, 0.43
437, 0.28
438, 0.39
439, 0.46
440, 0.28
441, 0.36
442, 0.41
443, 0.32
444, 0.38
445, 0.33
446, 0.50
447, 0.34
448, 0.57
449, 0.30
450, 0.54
451, 0.42
452, 0.30
453, 0.59
454, 0.33
455, 0.35
456, 0.24
457, 0.27
458, 0.28
459, 0.28
460, 0.59
461, 0.39
462, 0.36
463, 0.25
464, 0.59
465, 0.59
466, 0.27
467, 0.37
468, 0.48
469, 0.58
470, 0.36
471, 0.24
472, 0.41
473, 0.31
474, 0.59
475, 0.38
476, 0.23
477, 0.34
478, 0.27
479, 0.45
480, 0.49
481, 0.46
482, 0.53
483, 0.22
484, 0.43
485, 0.33
486, 0.37
487, 0.54
488, 0.49
489, 0.34
490, 0.35
491, 0.37
492, 0.33
493, 0.27
494, 0.31
495, 0.54
496, 0.41
497, 0.35
498, 0.26
499, 0.32
500, 0.23
501, 0.46
502, 0.38
503, 0.28
504, 0.29
505, 0.30
506, 0.21
507, 0.44
508, 0.25
509, 0.29
510, 0.59
511, 0.29
512, 0.29
513, 0.28
514, 0.29
515, 0.43
516, 0.56
517, 0.28
518, 0.45
519, 0.59
520, 0.37
521, 0.36
522, 0.31
523, 0.22
524, 0.30
525, 0.43
526, 0.28
527, 0.27
528, 0.31
529, 0.59
530, 0.36
531, 0.34
532, 0.33
533, 0.27
534, 0.29
535, 0.33
536, 0.27
537, 0.28
538, 0.34
539, 0.38
540, 0.28
541, 0.28
542, 0.25
543, 0.33
544, 0.27
545, 0.44
546, 0.35
547, 0.30
548, 0.59
549, 0.59
550, 0.59
551, 0.59
552, 0.29
553, 0.56
554, 0.52
555, 0.27
556, 0.21
557, 0.59
558, 0.28
559, 0.29
560, 0.41
561, 0.51
562, 0.30
563, 0.46
564, 0.35
565, 0.16
566, 0.51
567, 0.39
568, 0.59
569, 0.45
570, 0.47
571, 0.29
572, 0.28
573, 0.34
574, 0.29
575, 0.59
576, 0.28
577, 0.33
578, 0.30
579, 0.33
580, 0.23
581, 0.34
582, 0.59
583, 0.23
584, 0.34
585, 0.33
586, 0.22
587, 0.27
588, 0.45
589, 0.35
590, 0.57
591, 0.59
592, 0.27
593, 0.46
594, 0.39
595, 0.41
596, 0.47
597, 0.35
598, 0.37
599, 0.38
600, 0.26
601, 0.30
602, 0.30
603, 0.27
604, 0.28
605, 0.51
606, 0.33
607, 0.59
608, 0.24
609, 0.35
610, 0.31
611, 0.29
612, 0.33
613, 0.42
614, 0.32
615, 0.32
616, 0.39
617, 0.28
618, 0.31
619, 0.35
620, 0.26
621, 0.29
622, 0.36
623, 0.28
624, 0.59
625, 0.38
626, 0.30
627, 0.52
628, 0.59
629, 0.31
630, 0.36
631, 0.27
632, 0.30
633, 0.34
634, 0.27
635, 0.59
636, 0.59
637, 0.32
638, 0.27
639, 0.35
640, 0.35
641, 0.35
642, 0.38
643, 0.36
644, 0.50
645, 0.30
646, 0.58
647, 0.51
648, 0.31
649, 0.39
650, 0.55
651, 0.36
652, 0.59
653, 0.39
654, 0.27
655, 0.59
656, 0.48
657, 0.25
658, 0.59
659, 0.47
660, 0.26
661, 0.31
662, 0.34
663, 0.59
664, 0.32
665, 0.33
666, 0.21
667, 0.31
668, 0.52
669, 0.35
670, 0.32
671, 0.39
672, 0.29
673, 0.36
674, 0.26
675, 0.37
676, 0.59
677, 0.59
678, 0.25
679, 0.50
680, 0.21
681, 0.59
682, 0.30
683, 0.43
684, 0.36
685, 0.37
686, 0.35
687, 0.28
688, 0.40
689, 0.53
690, 0.29
691, 0.36
692, 0.23
693, 0.59
694, 0.19
695, 0.32
696, 0.27
697, 0.32
698, 0.41
699, 0.33
700, 0.39
701, 0.28
702, 0.36
703, 0.59
704, 0.45
705, 0.47
706, 0.26
707, 0.33
708, 0.19
709, 0.59
710, 0.29
711, 0.29
712, 0.22
713, 0.51
714, 0.38
715, 0.33
716, 0.24
717, 0.24
718, 0.59
719, 0.34
720, 0.59
721, 0.36
722, 0.37
723, 0.53
724, 0.38
725, 0.58
726, 0.28
727, 0.45
728, 0.59
729, 0.55
730, 0.40
731, 0.41
732, 0.27
733, 0.59
734, 0.46
735, 0.46
736, 0.30
737, 0.21
738, 0.31
739, 0.59
740, 0.36
741, 0.30
742, 0.29
743, 0.29
744, 0.53
745, 0.26
746, 0.43
747, 0.32
748, 0.59
749, 0.37
750, 0.59
751, 0.57
752, 0.48
753, 0.35
754, 0.37
755, 0.42
756, 0.38
757, 0.35
758, 0.22
759, 0.59
760, 0.59
761, 0.21
762, 0.51
763, 0.59
764, 0.45
765, 0.29
766, 0.35
767, 0.41
768, 0.44
769, 0.31
770, 0.22
771, 0.26
772, 0.48
773, 0.35
774, 0.31
775, 0.59
776, 0.25
777, 0.37
778, 0.31
779, 0.27
780, 0.26
781, 0.30
782, 0.32
783, 0.36
784, 0.59
785, 0.43
786, 0.34
787, 0.58
788, 0.29
789, 0.48
790, 0.59
791, 0.53
792, 0.59
793, 0.27
794, 0.38
795, 0.47
796, 0.45
797, 0.34
798, 0.32
799, 0.39
800, 0.35
801, 0.28
802, 0.35
803, 0.36
804, 0.36
805, 0.59
806, 0.36
807, 0.27
808, 0.30
809, 0.34
810, 0.32
811, 0.24
812, 0.59
813, 0.33
814, 0.36
815, 0.24
816, 0.45
817, 0.59
818, 0.34
819, 0.59
820, 0.28
821, 0.59
822, 0.43
823, 0.36
824, 0.33
825, 0.30
826, 0.30
827, 0.57
828, 0.30
829, 0.27
830, 0.39
831, 0.31
832, 0.59
833, 0.34
834, 0.29
835, 0.59
836, 0.33
837, 0.43
838, 0.52
839, 0.34
840, 0.24
841, 0.59
842, 0.48
843, 0.33
844, 0.27
845, 0.20
846, 0.31
847, 0.23
848, 0.55
849, 0.34
850, 0.39
851, 0.48
852, 0.27
853, 0.28
854, 0.34
855, 0.28
856, 0.22
857, 0.41
858, 0.30
859, 0.36
860, 0.22
861, 0.28
862, 0.31
863, 0.43
864, 0.32
865, 0.33
866, 0.59
867, 0.59
868, 0.38
869, 0.27
870, 0.38
871, 0.33
872, 0.34
873, 0.28
874, 0.34
875, 0.35
876, 0.33
877, 0.31
878, 0.32
879, 0.34
880, 0.59
881, 0.35
882, 0.33
883, 0.34
884, 0.26
885, 0.48
886, 0.24
887, 0.59
888, 0.28
889, 0.22
890, 0.38
891, 0.30
892, 0.28
893, 0.37
894, 0.27
895, 0.30
896, 0.24
897, 0.27
898, 0.33
899, 0.33
900, 0.37
901, 0.31
902, 0.51
903, 0.27
904, 0.33
905, 0.29
906, 0.33
907, 0.34
908, 0.27
909, 0.36
910, 0.29
911, 0.31
912, 0.33
913, 0.31
914, 0.26
915, 0.33
916, 0.35
917, 0.42
918, 0.43
919, 0.38
920, 0.30
921, 0.49
922, 0.59
923, 0.34
924, 0.58
925, 0.59
926, 0.36
927, 0.56
928, 0.27
929, 0.36
930, 0.44
931, 0.32
932, 0.59
933, 0.33
934, 0.40
935, 0.31
936, 0.59
937, 0.29
938, 0.35
939, 0.28
940, 0.41
941, 0.35
942, 0.28
943, 0.33
944, 0.34
945, 0.34
946, 0.27
947, 0.30
948, 0.59
949, 0.47
950, 0.26
951, 0.59
952, 0.27
953, 0.29
954, 0.51
955, 0.34
956, 0.34
957, 0.23
958, 0.25
959, 0.36
960, 0.59
961, 0.30
962, 0.59
963, 0.31
964, 0.41
965, 0.27
966, 0.55
967, 0.45
968, 0.34
969, 0.59
970, 0.34
971, 0.54
972, 0.35
973, 0.30
974, 0.33
975, 0.27
976, 0.49
977, 0.33
978, 0.30
979, 0.37
980, 0.45
981, 0.27
982, 0.26
983, 0.37
984, 0.40
985, 0.31
986, 0.22
987, 0.30
988, 0.24
989, 0.33
990, 0.27
991, 0.35
992, 0.28
993, 0.28
994, 0.28
995, 0.24
996, 0.32
997, 0.43
998, 0.59
999, 0.52
1000, 0.59
1001, 0.53
1002, 0.59
1003, 0.23
1004, 0.36
1005, 0.47
1006, 0.35
1007, 0.27
1008, 0.22
1009, 0.32
1010, 0.39
1011, 0.32
1012, 0.57
1013, 0.22
1014, 0.32
1015, 0.28
1016, 0.26
1017, 0.37
1018, 0.45
1019, 0.31
1020, 0.29
1021, 0.28
1022, 0.28
1023, 0.34
1024, 0.45
1025, 0.37
1026, 0.59
1027, 0.44
1028, 0.27
1029, 0.38
1030, 0.29
1031, 0.37
1032, 0.59
1033, 0.30
1034, 0.40
1035, 0.26
1036, 0.29
1037, 0.44
1038, 0.48
1039, 0.35
1040, 0.29
1041, 0.28
1042, 0.35
1043, 0.42
1044, 0.39
1045, 0.59
1046, 0.59
1047, 0.29
1048, 0.39
1049, 0.40
1050, 0.45
1051, 0.37
1052, 0.32
1053, 0.36
1054, 0.40
1055, 0.46
1056, 0.24
1057, 0.20
1058, 0.28
1059, 0.30
1060, 0.56
1061, 0.24
1062, 0.49
1063, 0.32
1064, 0.28
1065, 0.46
1066, 0.31
1067, 0.34
1068, 0.27
1069, 0.41
1070, 0.53
1071, 0.42
1072, 0.59
1073, 0.30
1074, 0.27
1075, 0.28
1076, 0.59
1077, 0.31
1078, 0.39
1079, 0.35
1080, 0.28
1081, 0.37
1082, 0.38
1083, 0.37
1084, 0.27
1085, 0.59
1086, 0.28
1087, 0.34
1088, 0.28
1089, 0.35
1090, 0.32
1091, 0.33
1092, 0.36
1093, 0.37
1094, 0.21
1095, 0.36
1096, 0.41
1097, 0.51
1098, 0.30
1099, 0.26
1100, 0.37
1101, 0.27
1102, 0.37
1103, 0.33
1104, 0.30
1105, 0.56
1106, 0.27
1107, 0.37
1108, 0.41
1109, 0.47
1110, 0.29
1111, 0.48
1112, 0.55
1113, 0.44
1114, 0.59
1115, 0.35
1116, 0.59
1117, 0.34
1118, 0.37
1119, 0.26
1120, 0.21
1121, 0.38
1122, 0.49
1123, 0.31
1124, 0.40
1125, 0.20
1126, 0.59
1127, 0.38
1128, 0.26
1129, 0.30
1130, 0.50
1131, 0.47
1132, 0.28
1133, 0.59
1134, 0.31
1135, 0.22
1136, 0.59
1137, 0.59
1138, 0.39
1139, 0.27
1140, 0.33
1141, 0.59
1142, 0.59
1143, 0.27
1144, 0.32
1145, 0.35
1146, 0.31
1147, 0.59
1148, 0.32
1149, 0.41
1150, 0.59
1151, 0.37
1152, 0.22
1153, 0.42
1154, 0.27
1155, 0.34
1156, 0.59
1157, 0.39
1158, 0.41
1159, 0.29
1160, 0.31
1161, 0.27
1162, 0.22
1163, 0.31
1164, 0.53
1165, 0.59
1166, 0.59
1167, 0.31
1168, 0.29
1169, 0.35
1170, 0.59
1171, 0.59
1172, 0.59
1173, 0.00
1174, 0.25
1175, 0.59
1176, 0.35
1177, 0.37
1178, 0.33
1179, 0.27
1180, 0.29
1181, 0.37
1182, 0.39
1183, 0.42
1184, 0.28
1185, 0.37
1186, 0.48
1187, 0.44
1188, 0.59
1189, 0.30
1190, 0.41
1191, 0.59
1192, 0.43
1193, 0.51
1194, 0.34
1195, 0.48
1196, 0.29
1197, 0.25
1198, 0.35
1199, 0.58
1200, 0.27
1201, 0.25
1202, 0.59
1203, 0.43
1204, 0.35
1205, 0.27
1206, 0.59
1207, 0.23
1208, 0.23
1209, 0.23
1210, 0.33
1211, 0.33
1212, 0.59
1213, 0.30
1214, 0.40
1215, 0.28
1216, 0.23
1217, 0.57
1218, 0.22
1219, 0.26
1220, 0.59
1221, 0.45
1222, 0.31
1223, 0.29
1224, 0.44
1225, 0.59
1226, 0.50
1227, 0.38
1228, 0.41
1229, 0.36
1230, 0.34
1231, 0.30
1232, 0.27
1233, 0.39
1234, 0.29
1235, 0.24
1236, 0.35
1237, 0.38
1238, 0.31
1239, 0.34
1240, 0.27
1241, 0.31
1242, 0.35
1243, 0.59
1244, 0.52
1245, 0.27
1246, 0.25
1247, 0.27
1248, 0.49
1249, 0.32
1250, 0.32
1251, 0.55
1252, 0.31
1253, 0.30
1254, 0.32
1255, 0.24
1256, 0.32
1257, 0.27
1258, 0.34
1259, 0.34
1260, 0.56
1261, 0.31
1262, 0.30
1263, 0.21
1264, 0.31
1265, 0.59
1266, 0.35
1267, 0.27
1268, 0.59
1269, 0.38
1270, 0.42
1271, 0.31
1272, 0.22
1273, 0.36
1274, 0.34
1275, 0.34
1276, 0.59
1277, 0.59
1278, 0.34
1279, 0.34
1280, 0.29
1281, 0.31
1282, 0.23
1283, 0.30
1284, 0.27
1285, 0.32
1286, 0.29
1287, 0.40
1288, 0.15
1289, 0.28
1290, 0.37
1291, 0.33
1292, 0.50
1293, 0.38
1294, 0.36
1295, 0.39
1296, 0.40
1297, 0.59
1298, 0.31
1299, 0.42
1300, 0.32
1301, 0.35
1302, 0.27
1303, 0.46
1304, 0.26
1305, 0.59
1306, 0.41
1307, 0.59
1308, 0.30
1309, 0.29
1310, 0.38
1311, 0.59
1312, 0.32
1313, 0.36
1314, 0.36
1315, 0.39
1316, 0.59
1317, 0.32
1318, 0.27
1319, 0.27
1320, 0.46
1321, 0.27
1322, 0.38
1323, 0.28
1324, 0.30
1325, 0.59
1326, 0.26
1327, 0.59
1328, 0.44
1329, 0.35
1330, 0.28
1331, 0.27
1332, 0.27
1333, 0.59
1334, 0.38
1335, 0.31
1336, 0.41
1337, 0.29
1338, 0.25
1339, 0.59
1340, 0.33
1341, 0.31
1342, 0.26
1343, 0.26
1344, 0.33
1345, 0.59
1346, 0.32
1347, 0.34
1348, 0.25
1349, 0.42
1350, 0.59
1351, 0.46
1352, 0.23
1353, 0.26
1354, 0.37
1355, 0.45
1356, 0.29
1357, 0.04
1358, 0.34
1359, 0.30
1360, 0.29
1361, 0.27
1362, 0.30
1363, 0.45
1364, 0.50
1365, 0.21
1366, 0.38
1367, 0.27
1368, 0.27
1369, 0.44
1370, 0.59
1371, 0.45
1372, 0.34
1373, 0.38
1374, 0.27
1375, 0.33
1376, 0.59
1377, 0.59
1378, 0.32
1379, 0.33
1380, 0.21
1381, 0.26
1382, 0.31
1383, 0.37
1384, 0.27
1385, 0.29
1386, 0.59
1387, 0.28
1388, 0.35
1389, 0.28
1390, 0.34
1391, 0.30
1392, 0.21
1393, 0.34
1394, 0.33
1395, 0.28
1396, 0.32
1397, 0.22
1398, 0.24
1399, 0.28
1400, 0.29
1401, 0.32
1402, 0.25
1403, 0.37
1404, 0.40
1405, 0.34
1406, 0.27
1407, 0.39
1408, 0.36
1409, 0.21
1410, 0.56
1411, 0.59
1412, 0.29
1413, 0.25
1414, 0.59
1415, 0.30
1416, 0.37
1417, 0.24
1418, 0.38
1419, 0.30
1420, 0.27
1421, 0.48
1422, 0.52
1423, 0.59
1424, 0.35
1425, 0.59
1426, 0.50
1427, 0.33
1428, 0.35
1429, 0.34
1430, 0.50
1431, 0.21
1432, 0.59
1433, 0.41
1434, 0.59
1435, 0.53
1436, 0.38
1437, 0.59
1438, 0.32
1439, 0.59
1440, 0.29
1441, 0.33
1442, 0.26
1443, 0.40
1444, 0.29
1445, 0.30
1446, 0.33
1447, 0.59
1448, 0.29
1449, 0.27
1450, 0.38
1451, 0.27
1452, 0.21
1453, 0.32
1454, 0.24
1455, 0.31
1456, 0.34
1457, 0.48
1458, 0.36
1459, 0.26
1460, 0.27
1461, 0.30
1462, 0.59
1463, 0.22
1464, 0.27
1465, 0.35
1466, 0.34
1467, 0.35
1468, 0.35
1469, 0.34
1470, 0.01
1471, 0.36
1472, 0.46
1473, 0.22
1474, 0.35
1475, 0.30
1476, 0.35
1477, 0.45
1478, 0.44
1479, 0.43
1480, 0.43
1481, 0.27
1482, 0.40
1483, 0.29
1484, 0.51
1485, 0.36
1486, 0.25
1487, 0.36
1488, 0.48
1489, 0.52
1490, 0.26
1491, 0.27
1492, 0.35
1493, 0.29
1494, 0.21
1495, 0.59
1496, 0.23
1497, 0.33
1498, 0.57
1499, 0.31
1500, 0.32
1501, 0.59
1502, 0.59
1503, 0.26
1504, 0.42
1505, 0.49
1506, 0.36
1507, 0.34
1508, 0.38
1509, 0.31
1510, 0.45
1511, 0.39
1512, 0.32
1513, 0.32
1514, 0.59
1515, 0.38
1516, 0.37
1517, 0.28
1518, 0.59
1519, 0.34
1520, 0.31
1521, 0.28
1522, 0.34
1523, 0.37
1524, 0.22
1525, 0.36
1526, 0.36
1527, 0.59
1528, 0.56
1529, 0.21
1530, 0.40
1531, 0.32
1532, 0.25
1533, 0.36
1534, 0.59
1535, 0.33
1536, 0.36
1537, 0.40
1538, 0.59
1539, 0.59
1540, 0.24
1541, 0.34
1542, 0.27
1543, 0.28
1544, 0.27
1545, 0.36
1546, 0.59
1547, 0.33
1548, 0.26
1549, 0.34
1550, 0.47
1551, 0.00
1552, 0.42
1553, 0.35
1554, 0.31
1555, 0.30
1556, 0.26
1557, 0.37
1558, 0.30
1559, 0.38
1560, 0.27
1561, 0.32
1562, 0.37
1563, 0.30
1564, 0.38
1565, 0.01
1566, 0.59
1567, 0.35
1568, 0.36
1569, 0.35
1570, 0.25
1571, 0.29
1572, 0.29
1573, 0.34
1574, 0.39
1575, 0.28
1576, 0.59
1577, 0.36
1578, 0.46
1579, 0.30
1580, 0.38
1581, 0.30
1582, 0.30
1583, 0.27
1584, 0.35
1585, 0.42
1586, 0.30
1587, 0.59
1588, 0.22
1589, 0.59
1590, 0.26
1591, 0.30
1592, 0.32
1593, 0.49
1594, 0.21
1595, 0.32
1596, 0.35
1597, 0.48
1598, 0.28
1599, 0.35
1600, 0.32
1601, 0.41
1602, 0.27
1603, 0.59
1604, 0.27
1605, 0.31
1606, 0.59
1607, 0.26
1608, 0.56
1609, 0.50
1610, 0.26
1611, 0.21
1612, 0.36
1613, 0.33
1614, 0.36
1615, 0.44
1616, 0.59
1617, 0.34
1618, 0.35
1619, 0.45
1620, 0.27
1621, 0.59
1622, 0.27
1623, 0.39
1624, 0.30
1625, 0.28
1626, 0.30
1627, 0.34
1628, 0.38
1629, 0.59
1630, 0.55
1631, 0.41
1632, 0.43
1633, 0.52
1634, 0.44
1635, 0.45
1636, 0.30
1637, 0.52
1638, 0.59
1639, 0.44
1640, 0.55
1641, 0.45
1642, 0.41
1643, 0.26
1644, 0.23
1645, 0.59
1646, 0.27
1647, 0.33
1648, 0.35
1649, 0.54
1650, 0.27
1651, 0.30
1652, 0.24
1653, 0.20
1654, 0.33
1655, 0.42
1656, 0.27
1657, 0.31
1658, 0.27
1659, 0.59
1660, 0.31
1661, 0.28
1662, 0.28
1663, 0.33
1664, 0.53
1665, 0.28
1666, 0.59
1667, 0.43
1668, 0.39
1669, 0.44
1670, 0.38
1671, 0.36
1672, 0.27
1673, 0.17
1674, 0.27
1675, 0.49
1676, 0.33
1677, 0.43
1678, 0.37
1679, 0.28
1680, 0.30
1681, 0.34
1682, 0.59
1683, 0.32
1684, 0.34
1685, 0.24
1686, 0.28
1687, 0.35
1688, 0.30
1689, 0.56
1690, 0.29
1691, 0.32
1692, 0.36
1693, 0.30
1694, 0.30
1695, 0.59
1696, 0.29
1697, 0.35
1698, 0.59
1699, 0.27
1700, 0.59
1701, 0.43
1702, 0.31
1703, 0.42
1704, 0.27
1705, 0.25
1706, 0.27
1707, 0.25
1708, 0.28
1709, 0.59
1710, 0.37
1711, 0.59
1712, 0.35
1713, 0.59
1714, 0.36
1715, 0.38
1716, 0.42
1717, 0.58
1718, 0.48
1719, 0.29
1720, 0.28
1721, 0.26
1722, 0.59
1723, 0.27
1724, 0.25
1725, 0.23
1726, 0.36
1727, 0.34
1728, 0.41
1729, 0.40
1730, 0.23
1731, 0.54
1732, 0.44
1733, 0.35
1734, 0.28
1735, 0.33
1736, 0.29
1737, 0.29
1738, 0.38
1739, 0.39
1740, 0.31
1741, 0.51
1742, 0.42
1743, 0.38
1744, 0.48
1745, 0.32
1746, 0.32
1747, 0.19
1748, 0.35
1749, 0.59
1750, 0.26
1751, 0.55
1752, 0.41
1753, 0.27
1754, 0.32
1755, 0.41
1756, 0.29
1757, 0.26
1758, 0.38
1759, 0.32
1760, 0.25
1761, 0.31
1762, 0.28
1763, 0.38
1764, 0.50
1765, 0.31
1766, 0.42
1767, 0.31
1768, 0.46
1769, 0.27
1770, 0.16
1771, 0.27
1772, 0.32
1773, 0.37
1774, 0.22
1775, 0.54
1776, 0.30
1777, 0.29
1778, 0.31
1779, 0.42
1780, 0.24
1781, 0.28
1782, 0.22
1783, 0.59
1784, 0.32
1785, 0.40
1786, 0.27
1787, 0.43
1788, 0.35
1789, 0.19
1790, 0.29
1791, 0.29
1792, 0.40
1793, 0.36
1794, 0.27
1795, 0.59
1796, 0.40
1797, 0.59
1798, 0.35
1799, 0.52
1800, 0.32
1801, 0.34
1802, 0.29
1803, 0.39
1804, 0.48
1805, 0.34
1806, 0.59
1807, 0.28
1808, 0.59
1809, 0.43
1810, 0.35
1811, 0.35
1812, 0.35
1813, 0.28
1814, 0.24
1815, 0.37
1816, 0.21
1817, 0.20
1818, 0.30
1819, 0.40
1820, 0.38
1821, 0.33
1822, 0.59
1823, 0.40
1824, 0.28
1825, 0.36
1826, 0.59
1827, 0.47
1828, 0.38
1829, 0.46
1830, 0.28
1831, 0.30
1832, 0.30
1833, 0.43
1834, 0.27
1835, 0.32
1836, 0.38
1837, 0.27
1838, 0.26
1839, 0.53
1840, 0.44
1841, 0.39
1842, 0.42
1843, 0.55
1844, 0.24
1845, 0.37
1846, 0.52
1847, 0.35
1848, 0.29
1849, 0.27
1850, 0.59
1851, 0.27
1852, 0.45
1853, 0.38
1854, 0.31
1855, 0.21
1856, 0.36
1857, 0.59
1858, 0.33
1859, 0.27
1860, 0.27
1861, 0.43
1862, 0.31
1863, 0.39
1864, 0.25
1865, 0.59
1866, 0.32
1867, 0.28
1868, 0.21
1869, 0.34
1870, 0.36
1871, 0.56
1872, 0.36
